"Name","Type","Abbreviation"
"API management service instance","Microsoft.ApiManagement/service","apim"
"Managed Identity","Microsoft.ManagedIdentity/userAssignedIdentities","id"
"Management group","Microsoft.Management/managementGroups","mg"
"Policy definition","Microsoft.Authorization/policyDefinitions","policy"
"Resource group","Microsoft.Resources/resourceGroups","rg"
"Application gateway","Microsoft.Network/applicationGateways","agw"
"Application security group (ASG)","Microsoft.Network/applicationSecurityGroups","asg"
"Bastion","Microsoft.Network/bastionHosts","bas"
"CDN profile","Microsoft.Cdn/profiles","cdnp"
"CDN endpoint","Microsoft.Cdn/profiles/endpoints","cdne"
"Connections","Microsoft.Network/connections","con"
"DNS","Microsoft.Network/dnsZones","dnsz"
"DNS zone","Microsoft.Network/privateDnsZones","pdnsz"
"Firewall","Microsoft.Network/azureFirewalls","afw"
"Firewall policy","Microsoft.Network/firewallPolicies","afwp"
"ExpressRoute circuit","Microsoft.Network/expressRouteCircuits","erc"
"Front Door instance","Microsoft.Network/frontDoors","fd"
"Front Door firewall policy","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","fdfp"
"Load balancer (internal)","Microsoft.Network/loadBalancers","lbi"
"Load balancer (external)","Microsoft.Network/loadBalancers","lbe"
"Load balancer rule","Microsoft.Network/loadBalancers/inboundNatRules","rule"
"Local network gateway","Microsoft.Network/localNetworkGateways","lgw"
"NAT gateway","Microsoft.Network/natGateways","ng"
"Network interface (NIC)","Microsoft.Network/networkInterfaces","nic"
"Network security group (NSG)","Microsoft.Network/networkSecurityGroups","nsg"
"Network security group (NSG) security rules","Microsoft.Network/networkSecurityGroups/securityRules","nsgsr"
"Network Watcher","Microsoft.Network/networkWatchers","nw"
"Private Link","&quot;Microsoft.Network/privateLinkServices","pl"
"Public IP address","Microsoft.Network/publicIPAddresses","pip"
"Public IP address prefix","Microsoft.Network/publicIPPrefixes","ippre"
"Route filter","Microsoft.Network/routeFilters","rf"
"Route table","Microsoft.Network/routeTables","rt"
"Service endpoint","Microsoft.serviceEndPointPolicies","se"
"Traffic Manager profile","Microsoft.Network/trafficManagerProfiles","traf"
"User defined route (UDR)","Microsoft.Network/routeTables/routes","udr"
"Virtual network","Microsoft.Network/virtualNetworks","vnet"
